id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
367,-,-,Sala vip,192.168.4.214,8/1/14,,,on/off,1.1.45,45,
368,-,-,Sala vip,192.168.4.214,8/1/15,,,on/off,1.1.45,45,
369,-,-,Sala vip,192.168.4.214,8/1/16,,,on/off,1.1.45,45,
370,-,-,Sala vip,192.168.4.214,8/1/17,,,on/off,1.1.45,45,
371,-,-,Sala vip,192.168.4.214,8/1/18,,,on/off,1.1.45,45,
372,-,-,Sala vip,192.168.4.214,8/1/19,,,on/off,1.1.45,45,
373,-,-,Sala vip,192.168.4.214,8/1/20,,,on/off,1.1.45,45,
374,-,-,Sala vip,192.168.4.214,8/1/21,,,on/off,1.1.45,45,
375,-,-,Sala vip,192.168.4.214,8/1/22,,,on/off,1.1.45,45,
376,-,-,Sala vip,192.168.4.214,8/1/23,,,on/off,1.1.45,45,
377,-,-,Sala vip,192.168.4.214,8/1/24,,,on/off,1.1.45,45,
378,-,-,Sala vip,192.168.4.214,8/1/25,,,on/off,1.1.45,45,
379,-,-,Sala vip,192.168.4.214,8/1/26,,,on/off,1.1.45,45,
380,-,-,Sala vip,192.168.4.214,8/1/27,,,on/off,1.1.45,45,
381,-,-,Sala vip,192.168.4.214,8/1/28,,,on/off,1.1.45,45,
382,-,-,Sala vip,192.168.4.214,8/1/29,,,on/off,1.1.45,45,
383,-,-,Sala vip,192.168.4.214,8/1/30,,,on/off,1.1.45,45,
384,-,-,Sala vip,192.168.4.214,8/1/31,,,on/off,1.1.45,45,
385,-,-,Sala vip,192.168.4.214,8/1/32,,,on/off,1.1.45,45,
386,-,-,Sala vip,192.168.4.214,8/1/33,,,on/off,1.1.45,45,
387,-,-,Sala vip,192.168.4.214,8/1/34,,,on/off,1.1.45,45,
388,-,-,Sala vip,192.168.4.214,8/1/35,,,on/off,1.1.45,45,
389,-,-,Sala vip,192.168.4.214,8/1/36,,,on/off,1.1.45,45,
390,-,-,Sala vip,192.168.4.214,8/1/37,,,on/off,1.1.45,45,
391,-,-,Sala vip,192.168.4.214,8/1/38,,,on/off,1.1.45,45,
392,-,-,Sala vip,192.168.4.214,8/1/39,,,on/off,1.1.45,45,
393,-,-,Sala vip,192.168.4.214,8/1/40,,,on/off,1.1.45,45,
394,-,-,Sala vip,192.168.4.214,8/1/41,,,on/off,1.1.45,45,
395,-,-,Sala vip,192.168.4.214,8/1/42,,,on/off,1.1.45,45,
396,-,-,Sala vip,192.168.4.214,8/1/43,,,on/off,1.1.45,45,
397,-,-,Sala vip,192.168.4.214,8/1/44,,,on/off,1.1.45,45,
398,-,-,Sala vip,192.168.4.214,8/1/45,,,on/off,1.1.45,45,
399,-,-,Sala vip,192.168.4.214,8/1/46,,,on/off,1.1.45,45,
400,-,-,Sala vip,192.168.4.214,8/1/47,,,on/off,1.1.45,45,
401,-,-,Sala vip,192.168.4.214,8/1/48,,,on/off,1.1.45,45,
402,-,-,Sala vip,192.168.4.214,8/1/49,,,on/off,1.1.45,45,
403,-,-,Plaza comidas,192.168.2.86,2/0/0,,,on/off,1.1.1,input4channel,
404,-,-,Plaza comidas,192.168.2.86,2/0/1,,,on/off,1.1.1,input4channel,
405,-,-,Plaza comidas,192.168.2.86,2/0/2,,,on/off,1.1.1,input4channel,
406,-,-,Plaza comidas,192.168.2.86,2/0/3,,,on/off,1.1.1,input4channel,
407,-,-,Plaza comidas,192.168.2.86,2/0/4,,,on/off,1.1.2,input4channel,
408,-,-,Plaza comidas,192.168.2.86,2/0/5,,,on/off,1.1.2,input4channel,
409,-,-,Plaza comidas,192.168.2.86,2/0/6,,,on/off,1.1.2,input4channel,
410,-,-,Plaza comidas,192.168.2.86,2/0/7,,,on/off,1.1.2,input4channel,
411,-,-,Plaza comidas,192.168.2.86,3/0/2,,,on/off,1.1.3,timer,
412,-,-,Plaza comidas,192.168.2.86,23/7/2,,,on/off,1.1.3,timer,
413,-,-,Plaza comidas,192.168.2.86,23/7/0,,,on/off,1.1.3,timer,
442,-,-,Plaza comidas,192.168.2.86,23/7/2,,,on/off,1.1.7,input4channel,
443,-,-,Plaza comidas,192.168.2.86,23/7/1,,,on/off,1.1.7,input4channel,
444,-,-,Plaza comidas,192.168.2.86,23/7/2,,,on/off,1.1.7,input4channel,
445,-,-,Plaza comidas,192.168.2.86,23/7/3,,,on/off,1.1.7,input4channel,
446,-,-,Plaza comidas,192.168.2.86,1/0/0,,,on/off,1.1.8,interruptorInteligente,
447,-,-,Plaza comidas,192.168.2.86,1/1/0,,,on/off,1.1.8,interruptorInteligente,
448,-,-,Plaza comidas,192.168.2.86,1/0/1,,,on/off,1.1.8,interruptorInteligente,
449,-,-,Plaza comidas,192.168.2.86,1/1/1,,,on/off,1.1.8,interruptorInteligente,
454,-,-,Plaza comidas,192.168.2.86,2/1/0,,,on/off,1.1.10,input4channel,
455,-,-,Plaza comidas,192.168.2.86,2/1/1,,,on/off,1.1.10,input4channel,
456,-,-,Plaza comidas,192.168.2.86,2/1/2,,,on/off,1.1.10,input4channel,
457,-,-,Plaza comidas,192.168.2.86,2/1/3,,,on/off,1.1.10,input4channel,
483,-,-,Auditorios,192.168.6.254,23/7/2,,,on/off,1.1.6,input4channel,
484,-,-,Auditorios,192.168.6.254,23/7/1,,,on/off,1.1.6,input4channel,
485,-,-,Auditorios,192.168.6.254,23/7/2,,,on/off,1.1.6,input4channel,
486,-,-,Auditorios,192.168.6.254,23/7/3,,,on/off,1.1.6,input4channel,
495,-,-,Auditorios,192.168.6.254,4/0/0,,,on/off,1.1.11,input4channel,
496,-,-,Auditorios,192.168.6.254,4/0/1,,,on/off,1.1.11,input4channel,
497,-,-,Auditorios,192.168.6.254,4/0/2,,,on/off,1.1.11,input4channel,
498,-,-,Auditorios,192.168.6.254,4/0/3,,,on/off,1.1.11,input4channel,
499,-,-,Auditorios,192.168.6.254,5/0/0,,,on/off,1.1.12,12,
500,-,-,Auditorios,192.168.6.254,5/0/1,,,on/off,1.1.12,12,
501,-,-,Auditorios,192.168.6.254,5/0/2,,,on/off,1.1.13,13,
502,-,-,Auditorios,192.168.6.254,5/0/3,,,on/off,1.1.13,13,
503,-,-,Auditorios,192.168.6.254,5/0/4,,,on/off,1.1.14,14,
504,-,-,Auditorios,192.168.6.254,5/0/5,,,on/off,1.1.14,14,
505,-,-,Auditorios,192.168.6.254,5/0/6,,,on/off,1.1.14,14,
506,-,-,Auditorios,192.168.6.254,5/0/7,,,on/off,1.1.14,14,
507,-,-,Auditorios,192.168.6.254,5/0/16,,,on/off,1.1.15,15,
508,-,-,Auditorios,192.168.6.254,5/0/17,,,on/off,1.1.15,15,
509,-,-,Auditorios,192.168.6.254,5/0/18,,,on/off,1.1.15,15,
510,-,-,Auditorios,192.168.6.254,5/0/19,,,on/off,1.1.15,15,
511,-,-,Auditorios,192.168.6.254,5/1/0,,,on/off,1.1.16,16,
512,-,-,Auditorios,192.168.6.254,5/1/1,,,on/off,1.1.16,16,
513,-,-,Auditorios,192.168.6.254,5/1/2,,,on/off,1.1.16,16,
514,-,-,Auditorios,192.168.6.254,5/1/3,,,on/off,1.1.16,16,
515,-,-,Auditorios,192.168.6.254,5/1/12,,,on/off,1.1.17,17,
516,-,-,Auditorios,192.168.6.254,5/1/13,,,on/off,1.1.17,17,
517,-,-,Auditorios,192.168.6.254,5/1/14,,,on/off,1.1.17,17,
518,-,-,Auditorios,192.168.6.254,5/1/15,,,on/off,1.1.17,17,
519,-,-,Auditorios,192.168.6.254,5/1/16,,,on/off,1.1.17,17,
520,-,-,Auditorios,192.168.6.254,5/1/17,,,on/off,1.1.17,17,
521,-,-,Auditorios,192.168.6.254,5/1/18,,,on/off,1.1.17,17,
522,-,-,Auditorios,192.168.6.254,5/1/19,,,on/off,1.1.17,17,
523,-,-,Auditorios,192.168.6.254,5/1/24,,,on/off,1.1.18,18,
